dependency,file
pip._internal.utils.filesystem,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
os.path,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
re,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
shutil,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.models.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.operations.build.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.operations.build.wheel_editable,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.operations.build.wheel_legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.utils.setuptools_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.utils.urls,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
pip._internal.vcs,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
pip._internal.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
pip._internal.utils.entrypoints,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
