file,class
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py,PackageDetails
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py,_EditableInfo
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py,FrozenRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,File
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,RequirementPreparer
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,TrackerId
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,BuildTracker
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,ZipBackedFile
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,ScriptFile
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,MissingCallableSuffix
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,PipScriptMaker
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,File
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,RequirementParts
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,ParsedRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,ParsedLine
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,RequirementsFileParser
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,OptionParsingError
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,InstallRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py,RequirementSet
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,StashedUninstallPathSet
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,UninstallPathSet
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,UninstallPthEntries
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py,InstallationResult
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\base.py,BaseResolver
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,Resolver
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,Constraint
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,Requirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,Candidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,_InstallRequirementBackedCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,LinkCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,EditableCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,AlreadyInstalledCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,ExtrasCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,RequiresPythonCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,CollectedRootRequirements
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,Factory
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,ConflictCause
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py,FoundCandidates
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,PipProvider
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,PipReporter
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,PipDebuggingReporter
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,ExplicitRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,SpecifierRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,SpecifierWithoutExtrasRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,RequiresPythonRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,UnsatisfiableRequirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,Resolver
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py,PipDeprecationWarning
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\hashes.py,Hashes
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\hashes.py,MissingHashes
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,BrokenStdoutLoggingError
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,IndentingFormatter
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,IndentedRenderable
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,PipConsole
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,RichPipStreamHandler
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,BetterRotatingFileHandler
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,MaxLevelFilter
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,ExcludeLoggerFilter
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,StreamWrapper
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,HiddenText
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,ConfiguredBuildBackendHookCaller
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,TempDirectoryTypeRegistry
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,_Default
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,TempDirectory
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,AdjacentTempDirectory
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_log.py,VerboseLogger
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py,Bazaar
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\git.py,Git
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py,Mercurial
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,Subversion
